Year,Number,SSC,End
2014,0,01/01/2014 10:30,01/01/2014 16:53
2014,1,03/01/2014 14:30,03/01/2014 20:29
2014,2,06/02/2014 03:29,06/02/2014 14:39
2014,3,08/02/2014 05:06,09/02/2014 22:49
2014,4,16/02/2014 08:30,16/02/2014 21:49
2014,5,18/02/2014 13:30,22/02/2014 13:30
2014,6,23/02/2014 07:30,24/02/2014 15:45
2014,7,27/02/2014 10:30,01/03/2014 19:30
2014,8,12/03/2014 20:30,13/03/2014 07:49
2014,9,11/04/2014 10:30,14/04/2014 01:30
2014,10,21/04/2014 08:30,21/04/2014 15:10
2014,11,29/04/2014 20:30,30/04/2014 23:04
2014,12,03/05/2014 18:29,05/05/2014 17:39
2014,13,07/05/2014 23:30,09/05/2014 07:41
2014,14,10/05/2014 11:30,11/05/2014 01:47
2014,15,23/05/2014 11:30,23/05/2014 21:51
2014,16,07/06/2014 19:30,09/06/2014 03:29
2014,17,18/06/2014 13:30,18/06/2014 22:56
2014,18,26/08/2014 19:42,30/08/2014 05:54
2014,19,31/08/2014 18:29,01/09/2014 04:49
2014,20,12/09/2014 00:29,14/09/2014 12:00
2014,21,18/09/2014 14:30,19/09/2014 05:41
2014,22,23/09/2014 22:30,25/09/2014 00:29
2014,23,26/09/2014 08:30,28/09/2014 19:09
2014,24,29/09/2014 14:30,01/10/2014 18:49
2014,25,08/10/2014 08:30,11/10/2014 14:05
2014,26,14/10/2014 10:30,15/10/2014 07:17
2014,27,17/10/2014 14:30,29/10/2014 11:44
2014,28,04/11/2014 00:30,05/11/2014 13:06
2014,29,10/11/2014 03:30,12/11/2014 09:05
2014,30,14/11/2014 16:54,24/11/2014 22:59
2014,31,07/12/2014 03:30,09/12/2014 20:54
2014,32,12/12/2014 00:43,15/12/2014 23:49
2014,33,16/12/2014 17:30,17/12/2014 02:09
2014,34,19/12/2014 14:29,19/12/2014 19:41
2014,35,21/12/2014 01:30,22/12/2014 14:43
2014,36,23/12/2014 12:29,27/12/2014 13:59
2014,37,29/12/2014 04:30,30/12/2014 23:09
2015,0,02/01/2015 10:30,03/01/2015 02:15
2015,1,04/01/2015 04:30,09/01/2015 10:59
2015,2,25/01/2015 22:30,26/01/2015 10:49
2015,3,01/02/2015 17:29,02/02/2015 17:44
2015,4,07/02/2015 05:30,07/02/2015 11:13
2015,5,16/02/2015 21:03,19/02/2015 05:09
2015,6,23/02/2015 04:25,25/02/2015 08:44
2015,7,28/02/2015 15:30,02/03/2015 16:30
2015,8,17/03/2015 05:30,24/03/2015 03:00
2015,9,28/03/2015 23:30,29/03/2015 11:57
2015,10,09/04/2015 21:30,11/04/2015 21:42
2015,11,14/04/2015 10:06,18/04/2015 02:12
2015,12,27/04/2015 12:10,28/04/2015 00:42
2015,13,10/05/2015 18:29,14/05/2015 17:09
2015,14,18/05/2015 11:01,19/05/2015 06:39
2015,15,07/06/2015 18:42,11/06/2015 15:59
2015,16,15/06/2015 08:30,15/06/2015 17:17
2015,17,17/06/2015 01:30,18/06/2015 16:49
2015,18,22/06/2015 06:29,29/06/2015 22:44
2015,19,04/07/2015 16:30,06/07/2015 22:30
2015,20,13/07/2015 02:30,14/07/2015 06:39
2015,21,22/07/2015 17:35,24/07/2015 02:29
2015,22,25/07/2015 12:29,26/07/2015 02:09
2015,23,15/08/2015 09:29,17/08/2015 21:14
2015,24,18/08/2015 20:30,19/08/2015 10:52
2015,25,23/08/2015 02:30,23/08/2015 11:05
2015,26,25/08/2015 22:30,29/08/2015 02:29
2015,27,03/09/2015 17:30,04/09/2015 07:59
2015,28,07/09/2015 03:02,15/09/2015 17:29
2015,29,18/09/2015 02:29,18/09/2015 15:59
2015,30,20/09/2015 00:29,21/09/2015 00:59
2015,31,23/09/2015 07:30,23/09/2015 19:07
2015,32,01/10/2015 10:30,01/10/2015 22:41
2015,33,03/10/2015 04:30,14/10/2015 18:42
2015,34,18/10/2015 04:30,18/10/2015 21:00
2015,35,31/10/2015 20:30,01/11/2015 17:49
2015,36,03/11/2015 07:30,12/11/2015 14:29
2015,37,13/11/2015 13:30,14/11/2015 08:09
2015,38,16/11/2015 00:10,16/11/2015 19:17
2015,39,18/11/2015 20:30,19/11/2015 13:12
2015,40,30/11/2015 06:29,30/11/2015 16:44
2015,41,14/12/2015 15:29,15/12/2015 08:29
2015,42,19/12/2015 22:30,22/12/2015 21:29
2015,43,31/12/2015 01:30,01/01/2016 00:00
2016,0,01/01/2016 00:00,02/01/2016 04:14
2016,1,20/01/2016 01:30,22/01/2016 12:29
2016,2,31/01/2016 14:30,01/02/2016 10:59
2016,3,02/02/2016 13:30,03/02/2016 08:44
2016,4,07/02/2016 20:30,08/02/2016 09:00
2016,5,11/02/2016 19:30,12/02/2016 12:13
2016,6,16/02/2016 08:30,19/02/2016 18:45
2016,7,06/03/2016 10:30,08/03/2016 17:29
2016,8,09/03/2016 10:30,10/03/2016 00:00
2016,9,14/03/2016 18:29,17/03/2016 13:21
2016,10,19/03/2016 03:29,21/03/2016 01:05
2016,11,02/04/2016 14:30,03/04/2016 22:12
2016,12,07/04/2016 13:30,08/04/2016 06:17
2016,13,12/04/2016 10:21,15/04/2016 03:19
2016,14,16/04/2016 13:30,17/04/2016 01:41
2016,15,01/05/2016 10:30,03/05/2016 04:30
2016,16,08/05/2016 01:30,10/05/2016 16:05
2016,17,05/06/2016 13:30,06/06/2016 18:29
2016,18,11/07/2016 21:29,12/07/2016 10:30
2016,19,24/07/2016 22:30,25/07/2016 18:14
2016,20,02/08/2016 20:29,03/08/2016 20:29
2016,21,23/08/2016 11:30,24/08/2016 21:29
2016,22,31/08/2016 17:30,06/09/2016 10:30
2016,23,08/09/2016 01:30,08/09/2016 16:59
2016,24,14/09/2016 17:30,15/09/2016 08:49
2016,25,19/09/2016 06:29,20/09/2016 03:45
2016,26,25/09/2016 09:29,02/10/2016 21:45
2016,27,03/10/2016 14:30,05/10/2016 04:30
2016,28,13/10/2016 02:30,14/10/2016 16:44
2016,29,24/10/2016 19:30,31/10/2016 08:44
2016,30,01/11/2016 06:29,03/11/2016 17:44
2016,31,10/11/2016 03:29,11/11/2016 03:14
2016,32,23/11/2016 23:12,25/11/2016 09:29
2016,33,09/12/2016 10:30,10/12/2016 00:00
2016,34,21/12/2016 09:29,22/12/2016 15:00
2016,35,23/12/2016 10:30,24/12/2016 03:05
2016,36,25/12/2016 05:00,26/12/2016 16:53
2017,0,05/01/2017 13:30,06/01/2017 00:14
2017,1,08/01/2017 14:30,09/01/2017 00:00
2017,2,18/01/2017 22:30,19/01/2017 03:55
2017,3,01/02/2017 00:29,01/02/2017 11:17
2017,4,03/02/2017 01:30,03/02/2017 11:03
2017,5,01/03/2017 07:30,04/03/2017 09:42
2017,6,06/03/2017 07:30,06/03/2017 17:09
2017,7,09/03/2017 07:30,09/03/2017 16:53
2017,8,22/03/2017 13:30,23/03/2017 04:30
2017,9,26/03/2017 22:30,31/03/2017 17:41
2017,10,04/04/2017 04:30,04/04/2017 12:36
2017,11,19/04/2017 23:30,20/04/2017 07:44
2017,12,21/04/2017 16:30,25/04/2017 04:30
2017,13,20/05/2017 00:29,20/05/2017 17:29
2017,14,27/05/2017 21:29,29/05/2017 22:09
2017,15,16/06/2017 13:30,17/06/2017 00:49
2017,16,09/07/2017 14:30,10/07/2017 03:59
2017,17,16/07/2017 06:29,19/07/2017 06:49
2017,18,20/07/2017 14:15,21/07/2017 08:05
2017,19,23/07/2017 03:29,23/07/2017 07:41
2017,20,18/08/2017 22:30,20/08/2017 05:09
2017,21,22/08/2017 18:29,24/08/2017 08:29
2017,22,27/08/2017 14:30,28/08/2017 00:29
2017,23,31/08/2017 06:29,31/08/2017 22:30
2017,24,07/09/2017 13:30,10/09/2017 22:49
2017,25,12/09/2017 20:30,13/09/2017 00:57
2017,26,14/09/2017 12:30,14/09/2017 21:17
2017,27,27/09/2017 05:30,29/09/2017 00:29
2017,28,30/09/2017 12:30,01/10/2017 22:30
2017,29,11/10/2017 13:30,15/10/2017 20:29
2017,30,26/10/2017 06:29,26/10/2017 19:30
2017,31,07/11/2017 04:30,10/11/2017 13:14
2017,32,20/11/2017 17:30,21/11/2017 10:38
2017,33,04/12/2017 16:30,05/12/2017 23:49
2018,0,23/02/2018 00:30,23/02/2018 11:36
2018,1,09/03/2018 19:30,10/03/2018 09:19
2018,2,14/03/2018 13:30,15/03/2018 01:41
2018,3,16/03/2018 01:30,16/03/2018 10:47
2018,4,18/03/2018 12:29,19/03/2018 05:55
2018,5,20/04/2018 01:30,21/04/2018 20:41
2018,6,05/05/2018 11:30,08/05/2018 06:39
2018,7,10/05/2018 07:30,10/05/2018 18:29
2018,8,11/05/2018 13:30,11/05/2018 22:30
2018,9,17/05/2018 09:29,17/05/2018 20:54
2018,10,31/05/2018 18:46,01/06/2018 22:14
2018,11,18/06/2018 00:29,18/06/2018 03:57
2018,12,25/06/2018 11:29,26/06/2018 21:49
2018,13,15/08/2018 01:23,17/08/2018 05:22
2018,14,25/08/2018 08:30,30/08/2018 02:15
2018,15,10/09/2018 10:30,11/09/2018 20:05
2018,16,21/09/2018 21:29,22/09/2018 09:59
2018,17,07/10/2018 10:30,11/10/2018 07:59
2018,18,13/10/2018 11:30,14/10/2018 01:09
2018,19,04/11/2018 22:30,06/11/2018 13:17
2018,20,09/11/2018 08:30,09/11/2018 23:49
2019,0,31/01/2019 20:29,02/02/2019 10:30
2019,1,28/02/2019 11:30,28/02/2019 22:49
2019,2,16/03/2019 14:00,17/03/2019 13:14
2019,3,04/04/2019 08:30,04/04/2019 18:14
2019,4,09/04/2019 23:29,10/04/2019 05:55
2019,5,10/05/2019 18:29,12/05/2019 03:00
2019,6,14/05/2019 00:29,15/05/2019 00:49
2019,7,09/07/2019 18:29,10/07/2019 11:38
2019,8,05/08/2019 03:29,07/08/2019 03:00
2019,9,30/08/2019 15:15,02/09/2019 21:53
2019,10,04/09/2019 15:30,05/09/2019 08:29
2019,11,27/09/2019 10:30,28/09/2019 08:54
2019,12,29/09/2019 16:30,30/09/2019 04:05
2019,13,01/10/2019 00:29,01/10/2019 10:59
2019,14,25/10/2019 00:29,25/10/2019 12:49
2019,15,26/10/2019 00:52,28/10/2019 09:19
